reaction_id,equation,gpr,g0,data_type
OCTDPS,frdp_c + 5.0 ipdp_c --> octdp_c + 5.0 ppi_c,Cgl0473,-419.0,eQuilibrator_API
OHPBAT,glu__L_c + ohpb_c --> akg_c + phthr_c,Cgl0828,10.0,eQuilibrator_API
PANTS_num1,ala_B_c + atp_c + pant__R_c --> amp_c + h_c + pnto__R_c + ppi_c,Cgl0113,-47.0,eQuilibrator_API
PMPK,4ampm_c + atp_c --> 2mahmp_c + adp_c,Cgl1463,5.0,eQuilibrator_API
PNTK,atp_c + pnto__R_c --> 4ppan_c + adp_c + h_c,Cgl0995,-17.9,eQuilibrator_API
PPBNGS,2.0 5aop_c --> 2.0 h2o_c + h_c + ppbng_c,Cgl0431,-104.0,eQuilibrator_API
PPCDC,4ppcys_c + h_c --> co2_c + pan4p_c,Cgl1604,-21.2,eQuilibrator_API
PPGPPDP,h2o_c + ppgpp_c --> gdp_c + ppi_c,Cgl1653,-34.0,eQuilibrator_API
PPNCL2,4ppan_c + ctp_c + cys__L_c --> 4ppcys_c + cmp_c + h_c + ppi_c,Cgl1604,-60.0,eQuilibrator_API
PTPATi,atp_c + h_c + pan4p_c --> dpcoa_c + ppi_c,Cgl1329,-18.0,eQuilibrator_API
PY5PSH,g3p_c + gln__L_c + r5p_c --> glu__L_c + 3.0 h2o_c + h_c + pi_c + pydx5p_c,Cgl0788 and Cgl0789,-308.0,eQuilibrator_API
PYDAMK,atp_c + pydam_c --> adp_c + h_c + pyam5p_c,Cgl0913 and Cgl3079,-17.3,eQuilibrator_API
PYDXK,atp_c + pydx_c --> adp_c + h_c + pydx5p_c,Cgl0913 and Cgl3079,-18.3,eQuilibrator_API
PYDXNK,atp_c + pydxn_c --> adp_c + h_c + pdx5p_c,Cgl0913 and Cgl3079,-10.9,eQuilibrator_API
QULNS,dhap_c + iasp_c --> 2.0 h2o_c + pi_c + quln_c,Cgl1069,-221.0,eQuilibrator_API
RBFSa,4r5au_c + db4p_c --> dmlz_c + 2.0 h2o_c + pi_c,Cgl1594,-100.0,eQuilibrator_API
RBFSb,2.0 dmlz_c --> 4r5au_c + ribflv_c,Cgl1596,-95.0,eQuilibrator_API
RZ5PP,5prdmbz_c + h2o_c --> pi_c + rdmbzi_c,Cgl0644,-15.4,eQuilibrator_API
SEPHCHCS,akg_c + h_c + ichor_c --> 2sephchc_c + co2_c,Cgl0467,-1.0,eQuilibrator_API
SUCBZL,atp_c + coa_c + sucbz_c --> amp_c + ppi_c + sbzcoa_c,Cgl0450,-18.5,eQuilibrator_API
TDPDSH,dtdp4d6dg_c --> dtdp4d6dm_c,Cgl0333,-15.4,eQuilibrator_API
TMPK,atp_c + thmmp_c --> adp_c + thmpp_c,Cgl1323,-50.0,eQuilibrator_API
TMPPP_num1,2mahmp_c + 4mpetz_c + h_c --> ppi_c + thmmp_c,Cgl1463,-25.6,eQuilibrator_API
TRATF_num1,akg_c + tau_c --> 2saa_c + glu__L_c,Cgl2441,-25.6,eQuilibrator_API
UDCPDPS,frdp_c + 8.0 ipdp_c --> 8.0 ppi_c + udcpdp_c,Cgl2283,-671.0,eQuilibrator_API
UPP3MT_num1,2.0 amet_c + uppg3_c --> 2.0 ahcys_c + dscL_c + h_c,Cgl0429,-671.0,eQuilibrator_API
UPPDC1,4.0 h_c + uppg3_c --> 4.0 co2_c + cpppg3_c,Cgl0435,-24.0,eQuilibrator_API
NAMNPP,atp_c + h2o_c + nac_c + prpp_c --> adp_c + nicrnt_c + pi_c + ppi_c,Cgl2517,-39.2,eQuilibrator_API
RBFK,atp_c + ribflv_c --> adp_c + fmn_c + h_c,Cgl1978,-16.5,eQuilibrator_API
ADSK,aps_c + atp_c --> adp_c + h_c + paps_c,,-17.0,eQuilibrator_API
AMPTASECG_num1,cgly_c + h2o_c --> cys__L_c + gly_c,Cgl2426,8.0,eQuilibrator_API
