reactions,kcat
PHETA1_num2,
SHK3Dr_num2,
TYRTA_num2,
ALCD19_reverse_num2,
ALCD19_reverse_num3,
MCITL2_reverse_num2,
MCITD_reverse_num2,
MCITD_reverse_num3,
GALUi_reverse_num2,
TRATF_reverse_num2,
GAPD_reverse_num2,
MI2DH_reverse_num2,
MI2DH_reverse_num3,
MI2DH_reverse_num4,
UAGAAT_reverse_num2,
UAGAAT_reverse_num3,
UAGAAT_reverse_num4,
UAGAAT_reverse_num5,
ACOATA_reverse_num2,
ACOATA_reverse_num3,
ACOATA_reverse_num4,
ACOATA_reverse_num5,
MCOATA_reverse_num2,
MCOATA_reverse_num3,
MCOATA_reverse_num4,
MCOATA_reverse_num5,
ALCD2x_reverse_num2,
LEUt2rpp_reverse_num2,
LEUt2rpp_reverse_num3,
URAt2rpp_reverse_num2,
PHETA1_reverse_num2,
SHK3Dr_reverse_num2,
TYRTA_reverse_num2,
